LAST SEEN   TYPE      REASON                    OBJECT                                                             MESSAGE
5m10s       Normal    Started                   pod/prometheus-kube-prometheus-admission-create-5k5gp              Started container create
5m18s       Normal    SuccessfulCreate          job/prometheus-kube-prometheus-admission-create                    Created pod: prometheus-kube-prometheus-admission-create-5k5gp
5m7s        Normal    Completed                 job/prometheus-kube-prometheus-admission-create                    Job completed
5m2s        Normal    Scheduled                 pod/prometheus-kube-prometheus-admission-patch-67fzz               Successfully assigned default/prometheus-kube-prometheus-admission-patch-67fzz to my-cluster-worker
5m1s        Normal    Pulled                    pod/prometheus-kube-prometheus-admission-patch-67fzz               Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v20221220-controller-v1.5.1-58-g787ea74b6" already present on machine
5m1s        Normal    Created                   pod/prometheus-kube-prometheus-admission-patch-67fzz               Created container patch
5m1s        Normal    Started                   pod/prometheus-kube-prometheus-admission-patch-67fzz               Started container patch
5m3s        Normal    SuccessfulCreate          job/prometheus-kube-prometheus-admission-patch                     Created pod: prometheus-kube-prometheus-admission-patch-67fzz
4m57s       Normal    Completed                 job/prometheus-kube-prometheus-admission-patch                     Job completed
5m7s        Normal    Scheduled                 pod/prometheus-kube-prometheus-operator-774c4cd64d-m9bg6           Successfully assigned default/prometheus-kube-prometheus-operator-774c4cd64d-m9bg6 to my-cluster-worker
5m4s        Normal    Pulling                   pod/prometheus-kube-prometheus-operator-774c4cd64d-m9bg6           Pulling image "quay.io/prometheus-operator/prometheus-operator:v0.74.0"
4m49s       Normal    Pulled                    pod/prometheus-kube-prometheus-operator-774c4cd64d-m9bg6           Successfully pulled image "quay.io/prometheus-operator/prometheus-operator:v0.74.0" in 6.993s (15.174s including waiting). Image size: 17110567 bytes.
4m48s       Normal    Created                   pod/prometheus-kube-prometheus-operator-774c4cd64d-m9bg6           Created container kube-prometheus-stack
4m47s       Normal    Started                   pod/prometheus-kube-prometheus-operator-774c4cd64d-m9bg6           Started container kube-prometheus-stack
5m7s        Normal    SuccessfulCreate          replicaset/prometheus-kube-prometheus-operator-774c4cd64d          Created pod: prometheus-kube-prometheus-operator-774c4cd64d-m9bg6
5m7s        Normal    ScalingReplicaSet         deployment/prometheus-kube-prometheus-operator                     Scaled up replica set prometheus-kube-prometheus-operator-774c4cd64d to 1
5m7s        Normal    Scheduled                 pod/prometheus-kube-state-metrics-7d7654ff7-4n9l6                  Successfully assigned default/prometheus-kube-state-metrics-7d7654ff7-4n9l6 to my-cluster-worker
5m4s        Normal    Pulling                   pod/prometheus-kube-state-metrics-7d7654ff7-4n9l6                  Pulling image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0"
3m33s       Normal    Pulled                    pod/prometheus-kube-state-metrics-7d7654ff7-4n9l6                  Successfully pulled image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.12.0" in 40.837s (1m31.457s including waiting). Image size: 13702190 bytes.
3m17s       Normal    Created                   pod/prometheus-kube-state-metrics-7d7654ff7-4n9l6                  Created container kube-state-metrics
3m15s       Normal    Started                   pod/prometheus-kube-state-metrics-7d7654ff7-4n9l6                  Started container kube-state-metrics
5m7s        Normal    SuccessfulCreate          replicaset/prometheus-kube-state-metrics-7d7654ff7                 Created pod: prometheus-kube-state-metrics-7d7654ff7-4n9l6
5m7s        Normal    ScalingReplicaSet         deployment/prometheus-kube-state-metrics                           Scaled up replica set prometheus-kube-state-metrics-7d7654ff7 to 1
4m32s       Normal    Scheduled                 pod/prometheus-prometheus-kube-prometheus-prometheus-0             Successfully assigned default/prometheus-prometheus-kube-prometheus-prometheus-0 to my-cluster-worker
4m28s       Warning   FailedMount               pod/prometheus-prometheus-kube-prometheus-prometheus-0             MountVolume.SetUp failed for volume "prometheus-prometheus-kube-prometheus-prometheus-rulefiles-0" : failed to sync configmap cache: timed out waiting for the condition
4m18s       Normal    Pulling                   pod/prometheus-prometheus-kube-prometheus-prometheus-0             Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.74.0"
4m32s       Normal    SuccessfulCreate          statefulset/prometheus-prometheus-kube-prometheus-prometheus       create Pod prometheus-prometheus-kube-prometheus-prometheus-0 in StatefulSet prometheus-prometheus-kube-prometheus-prometheus successful
5m7s        Normal    Scheduled                 pod/prometheus-prometheus-node-exporter-24l4t                      Successfully assigned default/prometheus-prometheus-node-exporter-24l4t to my-cluster-worker
5m4s        Normal    Pulling                   pod/prometheus-prometheus-node-exporter-24l4t                      Pulling image "quay.io/prometheus/node-exporter:v1.8.0"
4m13s       Normal    Pulled                    pod/prometheus-prometheus-node-exporter-24l4t                      Successfully pulled image "quay.io/prometheus/node-exporter:v1.8.0" in 35.444s (50.628s including waiting). Image size: 12039592 bytes.
53s         Normal    Created                   pod/prometheus-prometheus-node-exporter-24l4t                      Created container node-exporter
51s         Normal    Started                   pod/prometheus-prometheus-node-exporter-24l4t                      Started container node-exporter
96s         Warning   Unhealthy                 pod/prometheus-prometheus-node-exporter-24l4t                      Liveness probe failed: Get "http://172.22.0.2:9100/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
96s         Warning   Unhealthy                 pod/prometheus-prometheus-node-exporter-24l4t                      Readiness probe failed: Get "http://172.22.0.2:9100/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
78s         Normal    Killing                   pod/prometheus-prometheus-node-exporter-24l4t                      Container node-exporter failed liveness probe, will be restarted
56s         Warning   Unhealthy                 pod/prometheus-prometheus-node-exporter-24l4t                      Readiness probe failed: Get "http://172.22.0.2:9100/": dial tcp 172.22.0.2:9100: connect: connection refused
56s         Normal    Pulled                    pod/prometheus-prometheus-node-exporter-24l4t                      Container image "quay.io/prometheus/node-exporter:v1.8.0" already present on machine
5m7s        Normal    Scheduled                 pod/prometheus-prometheus-node-exporter-wgp2s                      Successfully assigned default/prometheus-prometheus-node-exporter-wgp2s to my-cluster-control-plane
5m4s        Normal    Pulling                   pod/prometheus-prometheus-node-exporter-wgp2s                      Pulling image "quay.io/prometheus/node-exporter:v1.8.0"
4m59s       Normal    Pulled                    pod/prometheus-prometheus-node-exporter-wgp2s                      Successfully pulled image "quay.io/prometheus/node-exporter:v1.8.0" in 5.385s (5.386s including waiting). Image size: 12039592 bytes.
4m58s       Normal    Created                   pod/prometheus-prometheus-node-exporter-wgp2s                      Created container node-exporter
4m58s       Normal    Started                   pod/prometheus-prometheus-node-exporter-wgp2s                      Started container node-exporter
89s         Warning   Unhealthy                 pod/prometheus-prometheus-node-exporter-wgp2s                      Readiness probe failed: Get "http://172.22.0.3:9100/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
89s         Warning   Unhealthy                 pod/prometheus-prometheus-node-exporter-wgp2s                      Liveness probe failed: Get "http://172.22.0.3:9100/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
5m7s        Normal    SuccessfulCreate          daemonset/prometheus-prometheus-node-exporter                      Created pod: prometheus-prometheus-node-exporter-wgp2s
5m7s        Normal    SuccessfulCreate          daemonset/prometheus-prometheus-node-exporter                      Created pod: prometheus-prometheus-node-exporter-24l4t
